propertyCode;properties.name;properties.name_distancia
105433213;Escola Pia Sant Antoni;233.45562924500064
103792991;Escola Rambleta del Clot;148.21390434370056
104173446;Escola Santa Dorotea. Salesianes Sarrià;354.9871139641288
103633505;Shalom;212.0366679270937
104349439;Institut Maria Espinalt;275.7856190764245
105797898;Col·legi Sant Josep;273.2560643255711
105797637;Francesc Pejoan;141.86158828078544
105829939;Col·legi Sant Francesc Xavier;266.5369450272837
101474414;Centre Educatiu Grèvol;401.8987786022762
105946964;Escola Massana;177.43676537880378
105839663;Escola Massana;152.1246795203671
105854229;Escola Gayarre;170.21825536655356
105839714;Escola Massana;152.1246795203671
105839720;Escola Massana;152.1246795203671
105958898;Institut escola Tres Fonts de Les Corts;73.50196436334177
105839423;Escola Massana;152.1246795203671
105839787;Escola Massana;152.1246795203671
105547917;Escola Massana;206.4776918346733
96615163;Escola d'Aprenents SEAT;336.983484192957
105839717;Escola Massana;152.1246795203671
105839647;Escola Massana;152.1246795203671
105189637;Escola Pia Balmes;91.93476347241844
105839760;Escola Massana;152.1246795203671
104180910;Escola L'Arc de Sant Martí;201.89437739886043
105960948;Escola Augusta;256.73094632542325
102895977;Mare de Déu del Coll;470.66126811969
104847949;Jesuïtes Casp - Sagrat Cor de Jesús;180.3412427319735
105181181;Institut Fort Pius;189.13558745308742
105822950;Institut Poeta Maragall;84.29320362476176
105220285;Institut Sagrera Sant Andreu;80.42301083406245
104005591;Institut Sagrera Sant Andreu;80.6619663630079
105334137;Institut Sagrera Sant Andreu;80.6619663630079
105334130;Institut Sagrera Sant Andreu;80.6619663630079
104711279;Institut Sagrera Sant Andreu;80.6619663630079
105931028;Escola Antoni Balmanya;128.34592002707808
105476397;Escola Augusta;204.13555904459253
105334082;Institut Sagrera Sant Andreu;80.42301083406245
103150583;CodeLearn;411.7274346672945
105383529;Col·legi Reial Monestir de Santa Isabel;279.82016015170495
101035148;Institut Poeta Maragall;308.2494425644648
99507426;Institut Poeta Maragall;321.1183338429358
99507402;Escola Patronat Domenech;381.7058281128184
103012380;Institut Poeta Maragall;225.26497876199085
105015543;Escola Pia Balmes;109.51529199252579
105962079;Escola Patronat Domenech;65.6148076042096
105957679;Escola Mare de Déu de Montserrat;505.15146773187337
105220310;Institut Sagrera Sant Andreu;80.6619663630079
105058690;Escola Els Llorers;249.23341641979385
103437385;Escola Infant Jesús;255.07716775099826
102719165;Santa Teresa - Ganduxer;32.396580583668616
105180403;Magic Mirror Center;201.5517355586463
104742512;acidH;262.47205547004484
105116389;Institut Escola La Mina;350.6294043041228
102255078;Institut Ernest Lluch;169.71654333787282
104919721;Col·legi Reial Monestir de Santa Isabel;311.01931354937994
