properties.name;properties.route_ref;latitude;longitude
Plaça Granollers;;2.4353031;41.5411821
Carretera de l'Amunt / Cotxeres;;1.917779;41.4147987
Parc de la Bòbila;N2;2.244061;41.459352
Rotonda dels Closos;;1.8871386;41.5433586
Monbus (Manresa - Olesa - Barcelona);;1.8929085;41.5424374
I Català de Salut;;2.4305797;41.5365567
Via Augusta - Margenat;130 V7 N8;2.1204195;41.4020788
Francesc Macià - Diagonal;;2.1447477;41.3924102
Plaça Catalunya;;2.169774;41.3861586
Av. de Catalunya - Av. Cantallops;;2.236696;41.5807942
Av. de Catalunya - Indústria;;2.2373416;41.5820216
Ctra BV 1411 - Pau Casals;96 155;2.1780693;41.4932376
Pavellon;C13;2.3972878;41.5088424
Fusters - Ctra Nacional 150;103 104 155 N3;2.1750129;41.4644818
Pl Primer de Maig;97180;2.1859923;41.4660922
Parc de les Aus;;2.3825279;41.5112482
CAMÍ RAL / PL. DE L'AJUNTAMENT;;2.3927404;41.5021707
Ronda de Dalt - Av J V Foix;V3;2.1142036;41.4014187
Av J V Foix - Mendel;;2.1201506;41.3971306
Av J V Foix - Monestir;V3;2.1166486;41.3995446
BAIXADOR CABRERA DE MAR-VILASSAR DE MAR;;2.4007021;41.5065506
Escola Pablo Neruda;L20 L21 L85 N15;2.0872423;41.3657729
Mercat Comarcal;;2.0593032;41.5532688
Hospital;;2.2944927;41.6132722
Via Augusta - Moixerigues;565 567;2.4829671;41.6777551
Colònia Montserrat;;2.0496118;41.4476689
Av. del Maresme - Polígon Industrial;627;2.6054279;41.6081465
Pg. Diagonal - Balmes;722;1.9548404;41.7969066
Palau Municipal d'Esports;SF2;2.0521387;41.3800671
